problem_id,seed,group,native_correct,hadamard_correct,native_v4_status,hadamard_v4_status,native_abstain,hadamard_abstain,native_tokens,hadamard_tokens,length_delta,native_truncation,hadamard_truncation,native_eos,hadamard_eos,native_explicit_terminal_answer,hadamard_explicit_terminal_answer,native_answer_committed,hadamard_answer_committed,native_unique_token_ratio,hadamard_unique_token_ratio,native_repeated_4gram_rate,hadamard_repeated_4gram_rate,native_repeated_8gram_rate,hadamard_repeated_8gram_rate,native_repeated_16gram_rate,hadamard_repeated_16gram_rate,native_longest_repeated_span,hadamard_longest_repeated_span,native_correction_density_per_1k,hadamard_correction_density_per_1k,native_strong_answer_changes,hadamard_strong_answer_changes,native_first_commit_position,hadamard_first_commit_position,native_last_commit_position,hadamard_last_commit_position,native_fraction_after_first_commit,hadamard_fraction_after_first_commit,native_failure_category,native_failure_category_basis
aime26_01,1,BOTH_CORRECT,True,True,EXTRACTED,EXTRACTED,False,False,9588,11191,1603,False,False,True,True,True,True,True,False,0.08729662077596996,0.07666875167545349,0.39394887845592075,0.44780121558813013,0.11303621751382942,0.13984263233190275,0.01901180403217384,0.02550107372942023,32,100,3.44180225281602,3.75301581628094,0,0,5491,,5491,,0.42730496453900707,,NOT_COVERED_NON_CEILING,canonical classifier covers native ceiling rows only
aime26_01,2,BOTH_CORRECT,True,True,EXTRACTED,EXTRACTED,False,False,15150,9125,-6025,False,False,True,True,True,True,True,True,0.07445544554455445,0.07813698630136987,0.4333531392354921,0.4315939486954615,0.13722512051773095,0.1362140820355341,0.02464486290056156,0.020965971459934174,32,32,4.422442244224422,3.1780821917808217,2,0,8438,8123,14755,8123,0.44303630363036306,0.10980821917808219,NOT_COVERED_NON_CEILING,canonical classifier covers native ceiling rows only
aime26_02,1,BOTH_CORRECT,True,True,EXTRACTED,EXTRACTED,False,False,54401,23137,-31264,False,False,True,True,True,True,True,True,0.030128122644804325,0.050827678610018585,0.5793227692194566,0.4368029739776952,0.19470897525462372,0.11331603977518379,0.03999190968263888,0.01660755989966267,32,0,6.341795187588463,5.921251674806586,1,0,13032,14368,18176,23129,0.7604455800444845,0.37900332800276615,NOT_COVERED_NON_CEILING,canonical classifier covers native ceiling rows only
aime26_02,2,RESCUED,False,True,EXTRACTED,EXTRACTED,False,False,70421,19610,-50811,False,False,True,True,True,True,True,True,0.029082233992701042,0.05685874553799082,0.5391377204691983,0.4282654154128628,0.1447581446871361,0.11406417385094114,0.022185609181035737,0.017759632559326333,64,32,7.852771190411951,6.22131565527792,1,0,2931,14521,67094,19604,0.95837889265986,0.2595104538500765,NOT_COVERED_NON_CEILING,canonical classifier covers native ceiling rows only
aime26_03,1,RESCUED,False,True,ABSTAIN,EXTRACTED,True,False,74388,20413,-53975,False,False,True,True,False,True,True,False,0.030273700059149325,0.07578503894576985,0.6008872756604153,0.3790298873101421,0.3093531950363668,0.1356463785161227,0.2245304075403708,0.032110991273654244,256,32,64.6340807657149,4.653897026404742,0,0,54783,,54783,,0.2635505726730118,,NOT_COVERED_NON_CEILING,canonical classifier covers native ceiling rows only
aime26_03,2,RESCUED,False,True,ABSTAIN,EXTRACTED,True,False,81920,19289,-62631,True,False,False,True,False,True,True,True,0.029833984375,0.07107677951163875,0.5661462211750918,0.4193715648657057,0.17030263816488223,0.1371745669536355,0.030071424210976083,0.029936702293244744,64,32,10.595703125,4.92508683705739,0,1,59524,10168,59524,16948,0.273388671875,0.47286017937684693,REASONING_OSCILLATION,manual milestones repeatedly revisit the same interpretation
aime26_04,1,RESCUED,False,True,ABSTAIN,EXTRACTED,True,False,81920,22271,-59649,True,False,False,True,False,True,True,True,0.02254638671875,0.05136724888868933,0.5904268955161932,0.4494341656188252,0.1867591224836107,0.15244340639597553,0.03786093645076616,0.043718547807332864,128,64,9.75341796875,6.600511876431233,1,0,61488,20834,79966,22253,0.2494140625,0.06452337120021552,UNCLEAR,canonical classifier found insufficient positive evidence
aime26_04,2,BOTH_WRONG,False,False,ABSTAIN,EXTRACTED,True,False,81920,33978,-47942,True,False,False,True,False,True,True,True,0.02362060546875,0.033757136970981226,0.6117167376734988,0.5915820456217807,0.21019862537082024,0.3337846987136087,0.04948415847628351,0.23475546918705648,128,100,8.26416015625,5.886161633998469,0,2,32884,23431,74038,26555,0.598583984375,0.3104067337689093,ANSWER_COMMIT_FAILURE,canonical early-gold-without-commit rule
aime26_05,1,BOTH_CORRECT,True,True,EXTRACTED,EXTRACTED,False,False,35774,19622,-16152,False,False,True,True,True,True,True,True,0.05283166545535864,0.059474059728875754,0.4453887227083392,0.4896274020082573,0.13828389297397037,0.17889370379811365,0.02855225257977012,0.04177079614423418,32,32,5.059540448370325,4.688614820099888,0,0,28984,16968,28984,16968,0.18980264996925142,0.1352563449189685,NOT_COVERED_NON_CEILING,canonical classifier covers native ceiling rows only
aime26_05,2,BOTH_CORRECT,True,True,EXTRACTED,EXTRACTED,False,False,34705,17144,-17561,False,False,True,True,True,True,True,True,0.04376890937905201,0.05937937470835278,0.5696213474727682,0.5090718161134122,0.2317136434376621,0.20797105677773242,0.05183049870279621,0.04968182614279881,64,64,5.820486961532921,6.591227251516566,0,0,25565,14317,25565,14317,0.26336262786342024,0.16489734017732152,NOT_COVERED_NON_CEILING,canonical classifier covers native ceiling rows only
