adjacent_window_lexical_cosine,candidate_answers,condition,final_marker_count,gold_candidate_present,max_historical_window_lexical_cosine,model,problem,problem_id,progression_marker_count,repeated_16gram_fraction,repeated_32gram_fraction,repeated_8gram_fraction,seed,segment_end,segment_start,segment_tokens,self_correction_count,text_chars,token_roundtrip_delta,unique_4gram_ratio,unique_bigram_ratio,unique_unigram_ratio
,[252],fp_state,0,False,,qwen,aime26_01,aime26_01,31,0.009066405292820434,0.0,0.09122034727317196,1,4096,0,4096,13,9404,0,0.6352308819936477,0.2979242979242979,0.108642578125
0.9567802085150464,"[252, 277]",fp_state,2,True,0.9567802085150464,qwen,aime26_01,aime26_01,20,0.0142122028914482,0.0009840098400983877,0.08535094155050138,1,8192,4096,4096,15,9704,0,0.6887368678231126,0.34627594627594627,0.136474609375
0.9087300477953613,[],fp_state,0,False,0.9157634146234994,qwen,aime26_01,aime26_01,5,0.00879120879120876,0.0,0.0983248361252731,1,9572,8192,1380,1,3059,-1,0.7095134350036311,0.4024655547498187,0.15942028985507245
,[],fp_state,0,False,,qwen,aime26_03,aime26_03,29,0.020338152413624133,0.0014760147601475815,0.10051357300073371,1,4096,0,4096,18,12763,0,0.694600537503054,0.36752136752136755,0.13427734375
0.9698814423290325,[],fp_state,0,False,0.9698814423290325,qwen,aime26_03,aime26_03,29,0.005145797598627766,0.0,0.06749816581071166,1,8192,4096,4096,23,12863,0,0.7378451013926215,0.3916971916971917,0.147216796875
0.943039015537663,[],fp_state,0,False,0.943039015537663,qwen,aime26_03,aime26_03,118,0.014308426073131986,0.0,0.06597434331093466,1,16384,8192,8192,47,27591,0,0.7383074856514837,0.3677206690269808,0.120361328125
0.962459344175232,"[2, 29]",fp_state,0,False,0.9668339030477523,qwen,aime26_03,aime26_03,57,0.00717235383612258,0.0,0.059014970709481473,1,21000,16384,4616,16,13721,-1,0.755907218729677,0.38916576381365114,0.13149913344887348
,[-1],fp_state,0,False,,qwen,aime26_05,aime26_05,28,0.007841215388385225,0.0,0.08608461726583516,1,4096,0,4096,14,10439,0,0.6650378695333496,0.33064713064713064,0.1171875
0.7672832192001217,[],fp_state,0,False,0.7672832192001217,qwen,aime26_05,aime26_05,32,0.013967164910561158,0.0,0.14942528735632188,1,8192,4096,4096,24,9647,0,0.5472758367945273,0.263003663003663,0.095703125
0.97619229851545,[],fp_state,0,False,0.97619229851545,qwen,aime26_05,aime26_05,69,0.03167420814479638,0.0003676020095576549,0.19462431276725722,1,16384,8192,8192,54,18604,0,0.4954206862864819,0.21181784885850324,0.06884765625
0.9620307305455569,"[65, 29]",fp_state,1,True,0.9620307305455569,qwen,aime26_05,aime26_05,61,0.030026109660574396,0.0047562425683710385,0.16919611097936926,1,24825,16384,8441,37,19968,-1,0.5216876036975586,0.23672985781990522,0.0789006041938159
,[4],fp_state,1,False,,qwen,aime26_07,aime26_07,17,0.044596912521440824,0.0036900369003689537,0.21570066030814383,1,4096,0,4096,13,8655,0,0.541900806254581,0.27277167277167275,0.095947265625
0.9608792453489926,"[120, 40, 120, 40, 15, 45, 15, 1, 6, 6]",fp_state,1,False,0.9608792453489926,qwen,aime26_07,aime26_07,34,0.001960303847096334,0.0,0.08730741012472487,1,8192,4096,4096,19,8826,0,0.6782311263132177,0.32893772893772893,0.115478515625
0.9428667443883842,"[5, 6, 396, 396]",fp_state,1,True,0.9481029736640658,qwen,aime26_07,aime26_07,29,0.022910412387422974,0.0072865515602724695,0.15417389932144543,1,14536,8192,6344,18,14663,-1,0.5737265415549598,0.2768406116979347,0.10119798234552332
,[],fp_state,0,False,,qwen,aime26_09,aime26_09,36,0.010536633178142574,0.0,0.06456346294937643,1,4096,0,4096,26,12403,0,0.7654532128023455,0.4202686202686203,0.14697265625
