model,condition,problem_id,seed,gold_answer,v4_status,v4_extracted_answer,v4_correct,v4_abstain_reason,finish_reason,truncated,eos_seen,generated_token_count,runtime_error,nonfinite,source_file
Ling-3.0-tiny,LING_FP_STATE,aime26_01,1,277,EXTRACTED,277,True,,stop,False,True,1559,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_01,2,277,EXTRACTED,277,True,,stop,False,True,2447,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_02,1,62,EXTRACTED,62,True,,stop,False,True,6903,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_02,2,62,EXTRACTED,62,True,,stop,False,True,25218,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_03,1,79,EXTRACTED,79,True,,stop,False,True,19568,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_03,2,79,EXTRACTED,79,True,,stop,False,True,14711,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_04,1,70,EXTRACTED,71,False,,stop,False,True,14150,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_04,2,70,EXTRACTED,70,True,,stop,False,True,9708,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_05,1,65,EXTRACTED,65,True,,stop,False,True,4199,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_05,2,65,EXTRACTED,65,True,,stop,False,True,6293,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_06,1,441,EXTRACTED,441,True,,stop,False,True,12461,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_06,2,441,EXTRACTED,441,True,,stop,False,True,10873,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_07,1,396,EXTRACTED,396,True,,stop,False,True,17779,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_07,2,396,EXTRACTED,396,True,,stop,False,True,6307,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_08,1,244,EXTRACTED,244,True,,stop,False,True,8265,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_08,2,244,EXTRACTED,244,True,,stop,False,True,12218,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_09,1,29,EXTRACTED,19,False,,stop,False,True,80578,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_09,2,29,EXTRACTED,29,True,,stop,False,True,50495,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_10,1,156,ABSTAIN,,False,ABSTAIN_TRUNCATED_WITHOUT_EXPLICIT_FINAL,length,True,False,81920,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_10,2,156,EXTRACTED,156,True,,stop,False,True,71554,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_11,1,896,ABSTAIN,,False,ABSTAIN_TRUNCATED_WITHOUT_EXPLICIT_FINAL,length,True,False,81920,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_11,2,896,ABSTAIN,,False,ABSTAIN_TRUNCATED_WITHOUT_EXPLICIT_FINAL,length,True,False,81920,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_12,1,161,EXTRACTED,161,True,,stop,False,True,31934,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_12,2,161,EXTRACTED,161,True,,stop,False,True,16929,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_13,1,39,EXTRACTED,39,True,,stop,False,True,42570,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_13,2,39,EXTRACTED,20,False,,stop,False,True,51588,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_14,1,681,EXTRACTED,681,True,,stop,False,True,73139,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_14,2,681,EXTRACTED,681,True,,stop,False,True,34915,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_15,1,83,ABSTAIN,,False,ABSTAIN_TRUNCATED_WITHOUT_EXPLICIT_FINAL,length,True,False,81920,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker0/fp_state.jsonl
Ling-3.0-tiny,LING_FP_STATE,aime26_15,2,83,ABSTAIN,,False,ABSTAIN_TRUNCATED_WITHOUT_EXPLICIT_FINAL,length,True,False,81920,,False,/data01/user2/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/ling/formal/shards/worker1/fp_state.jsonl
